row_id,instruction,raw_input,goal_text,business_context,summary,text,tone_rule,tone_rule_confidence,tone_rule_matches,tone_zs_score_friendly,tone_zs_score_professional,tone_zs_score_luxury,tone_zs_score_emotional,tone_zs_score_persuasive,tone_zs_score_humorous,tone_zero_shot_scored,tone_zero_shot_raw,tone_zero_shot_raw_confidence,tone_zero_shot,tone_zero_shot_confidence,tone_second_choice,tone_second_choice_confidence,tone_phi3,tone_phi3_selected,tone_phi3_done,tone,tone_confidence,tone_agreement,tone_source,tone_needs_review
10,Create a social media campaign to increase brand awareness among younger audiences for a sustainable fashion brand.,"Company: GreenThreads; Target Audience: 18-25-year-olds; Constraints: Limited budget; Goals: 20% increase in followers, 15% increase in website traffic; Workflow Stage: Strategy","20% increase in followers, 15% increase in website traffic; Workflow Stage: Strategy",Company: GreenThreads; Target Audience: 18-25-year-olds; Constraints: Limited budget;,Company: GreenThreads; Target Audience: 18-25-year-olds; Constraints: Limited budget;,"Develop a social media contest, ""Eco-Chic Challenge,"" where followers share their eco-friendly fashion tips using a branded hashtag. Partner with eco-influencers to promote the contest. Allocate 30% of the budget to Instagram Reels and TikTok ads targeting the specified age group. Create engaging content (images, videos, and captions) highlighting GreenThreads' commitment to sustainability.",,0.0,,0.06412982940673828,0.10598305612802505,0.08062843978404999,0.11017761379480362,0.4941675662994385,0.1449134796857834,1,persuasive,0.4942,emotional,0.2312,persuasive,0.1914,professional,1,1,professional,0.6,0.5,phi3_tiebreak,True
11,Design an email marketing campaign to nurture leads for a B2B software company.,"Company: Tech Solutions; Target Audience: Business owners and decision-makers; Constraints: High competition; Goals: 25% open rate, 10% conversion rate; Workflow Stage: Copywriting","25% open rate, 10% conversion rate; Workflow Stage: Copywriting",Company: Tech Solutions; Target Audience: Business owners and decision-makers; Constraints: High competition;,Company: Tech Solutions; Target Audience: Business owners and decision-makers; Constraints: High competition;,"Create a 3-email sequence: ""The Future of Business"" series. Email 1: ""Unlock Your Business Potential"" ( introduction to Tech Solutions and its benefits); Email 2: ""Success Stories"" (case studies and testimonials); Email 3: ""Get Started"" ( demo invitation and special offer). Use a conversational tone, visually appealing templates, and A/B testing for subject lines and CTAs.",persuasive,0.3888,offer,0.31009960174560547,0.0923832356929779,0.05811512470245361,0.06350138038396835,0.40395885705947876,0.07194177061319351,1,persuasive,0.404,friendly,0.5531,persuasive,0.1211,friendly,1,1,friendly,0.6231,0.6667,three_method_majority,False
12,Generate social media posts for a new product launch in the fitness industry.,Company: FitZone; Target Audience: Fitness enthusiasts; Constraints: Short timeframe; Goals: Create buzz around the new product; Workflow Stage: Post Scheduling,Create buzz around the new product; Workflow Stage: Post Scheduling,Company: FitZone; Target Audience: Fitness enthusiasts; Constraints: Short timeframe;,Company: FitZone; Target Audience: Fitness enthusiasts; Constraints: Short timeframe;,"Schedule a series of 8 posts across Facebook, Instagram, Twitter, and LinkedIn. Post 1: Teaser (product sneak peek); Post 2-3: Product features and benefits; Post 4: Influencer partnership announcement; Post 5: Special launch offer; Post 6-7: Customer testimonials and reviews; Post 8: Exclusive promo code for followers. Use attention-grabbing visuals and relevant hashtags.",luxury,0.3192,exclusive,0.03793877735733986,0.05115441605448723,0.09912005811929703,0.058662138879299164,0.6457690596580505,0.10735553503036499,1,persuasive,0.6458,persuasive,0.3159,humorous,0.1783,professional,1,1,professional,0.6,0.3333,phi3_tiebreak,True
13,Create a social media campaign to increase brand awareness for a sustainable fashion brand among Gen Z consumers.,"Company: Verde Clothing, a new sustainable fashion brand; Target Audience: Gen Z (18-24 years old); Constraints: Limited budget ($5,000); Goals: Increase brand awareness by 30% in 6 weeks; Workflow Stage: Strategy.",Increase brand awareness by 30% in 6 weeks; Workflow Stage: Strategy.,"Company: Verde Clothing, a new sustainable fashion brand; Target Audience: Gen Z (18-24 years old); Constraints: Limited budget ($5,000);","Company: Verde Clothing, a new sustainable fashion brand; Target Audience: Gen Z (18-24 years old); Constraints: Limited budget ($5,000);","Launch a social media contest, ""Green Revolution,"" where followers share eco-friendly fashion tips using a branded hashtag. Collaborate with 5 eco-influencers to promote the contest. Allocate $2,000 for influencer partnerships, $1,500 for sponsored posts, and $1,500 for prize giveaways.",,0.0,,0.04614032059907913,0.1611448973417282,0.09797700494527817,0.04871825501322746,0.494175523519516,0.15184399485588074,1,persuasive,0.4942,professional,0.2265,humorous,0.2142,professional,1,1,professional,0.2965,1.0,three_method_majority,True
14,Develop a targeted ad campaign to promote a new AI-powered fitness app among fitness enthusiasts.,"Company: FitGenie, a new AI-powered fitness app; Target Audience: Fitness enthusiasts (25-45 years old); Constraints: Limited ad budget ($10,000); Goals: Acquire 10,000 new users in 3 months; Workflow Stage: Image Generation.","Acquire 10,000 new users in 3 months; Workflow Stage: Image Generation.","Company: FitGenie, a new AI-powered fitness app; Target Audience: Fitness enthusiasts (25-45 years old); Constraints: Limited ad budget ($10,000);","Company: FitGenie, a new AI-powered fitness app; Target Audience: Fitness enthusiasts (25-45 years old); Constraints: Limited ad budget ($10,000);","Create eye-catching ad visuals showcasing fit individuals using the app, with bold headlines emphasizing AI-driven personalized workouts. Allocate $3,000 for Facebook and Instagram ads, $2,000 for Google Ads, and $5,000 for influencer partnerships.",,0.0,,0.004294211510568857,0.04504105821251869,0.1361020803451538,0.010367796756327152,0.7514192461967468,0.05277566239237785,1,persuasive,0.7514,persuasive,0.4694,luxury,0.2723,persuasive,1,1,persuasive,0.5394,1.0,three_method_majority,True
15,Write engaging copy for an email newsletter promoting a new sustainable coffee subscription service.,"Company: GreenBrew, a sustainable coffee subscription service; Target Audience: Environmentally conscious coffee lovers (25-50 years old); Constraints: Limited email list (5,000 subscribers); Goals: Increase subscription sales by 20% in 2 months; Workflow Stage: Copywriting.",Increase subscription sales by 20% in 2 months; Workflow Stage: Copywriting.,"Company: GreenBrew, a sustainable coffee subscription service; Target Audience: Environmentally conscious coffee lovers (25-50 years old); Constraints: Limited email list (5,000 subscribers);","Company: GreenBrew, a sustainable coffee subscription service; Target Audience: Environmentally conscious coffee lovers (25-50 years old); Constraints: Limited email list (5,000 subscribers);","Craft a compelling newsletter highlighting the eco-friendly benefits of GreenBrew's sustainable coffee sourcing, featuring customer testimonials, and offering a limited-time discount (15% off) for new subscribers.",persuasive,0.6792,discount,0.020877212285995483,0.0930446982383728,0.08739616721868515,0.134873628616333,0.6128690242767334,0.05093924328684807,1,persuasive,0.6129,emotional,0.3268,persuasive,0.2742,persuasive,1,1,persuasive,0.7492,0.6667,three_method_majority,False
16,Schedule a series of Instagram posts promoting a new beauty product launch for a cosmetics company.,"Company: BeautyBliss, a cosmetics company; Target Audience: Beauty enthusiasts (18-40 years old); Constraints: Limited content creation budget ($2,000); Goals: Generate buzz around the new product launch; Workflow Stage: Post Scheduling.",Generate buzz around the new product launch; Workflow Stage: Post Scheduling.,"Company: BeautyBliss, a cosmetics company; Target Audience: Beauty enthusiasts (18-40 years old); Constraints: Limited content creation budget ($2,000);","Company: BeautyBliss, a cosmetics company; Target Audience: Beauty enthusiasts (18-40 years old); Constraints: Limited content creation budget ($2,000);","Schedule 6 Instagram posts over 2 weeks, featuring product teasers, behind-the-scenes content, and user-generated reviews. Utilize",,0.0,,0.09092621505260468,0.09079714864492416,0.15184929966926575,0.08907608687877655,0.27602118253707886,0.301330029964447,1,humorous,0.3013,humorous,0.3283,friendly,0.1736,persuasive,1,1,persuasive,0.6,0.5,phi3_tiebreak,True
17,Create a social media campaign to increase brand awareness among Gen Z for a sustainable fashion brand.,Company: GreenCycle Clothing; Target Audience: Gen Z (18-24); Constraints: Limited budget; Goals: Increase brand awareness by 20% in 6 weeks; Workflow Stage: Strategy.,Increase brand awareness by 20% in 6 weeks; Workflow Stage: Strategy.,Company: GreenCycle Clothing; Target Audience: Gen Z (18-24); Constraints: Limited budget;,Company: GreenCycle Clothing; Target Audience: Gen Z (18-24); Constraints: Limited budget;,"Develop a TikTok-focused campaign, leveraging hashtags like #Sustainability and #EcoFashion, with short, engaging videos showcasing the brand's eco-friendly production process and encouraging users to share their own sustainable fashion tips.",,0.0,,0.07888629287481308,0.03323764353990555,0.08780916035175323,0.0626974105834961,0.5142760872840881,0.22309337556362152,1,persuasive,0.5143,humorous,0.3061,persuasive,0.2078,friendly,1,1,friendly,0.6,0.5,phi3_tiebreak,True
18,Design an email marketing campaign to promote a new line of eco-friendly cleaning products.,Company: CleanStart; Target Audience: Environmentally conscious homeowners; Constraints: Limited email list; Goals: Boost sales by 15% in 3 months; Workflow Stage: Copywriting.,Boost sales by 15% in 3 months; Workflow Stage: Copywriting.,Company: CleanStart; Target Audience: Environmentally conscious homeowners; Constraints: Limited email list;,Company: CleanStart; Target Audience: Environmentally conscious homeowners; Constraints: Limited email list;,"Craft a compelling email series highlighting the benefits of eco-friendly cleaning, featuring customer testimonials, and offering a 10% discount on the new product line for subscribers, with a clear call-to-action to drive sales.",persuasive,0.6792,discount,0.0027867869939655066,0.019460683688521385,0.015846580266952515,0.020888131111860275,0.9310380220413208,0.009979717433452606,1,persuasive,0.931,persuasive,0.7686,emotional,0.0934,,0,0,persuasive,0.8284,1.0,rule_zero_shot_agreement,False
19,Develop a content marketing strategy for a B2B AI-powered cybersecurity firm.,Company: CyberShield; Target Audience: IT professionals; Constraints: Highly competitive market; Goals: Establish thought leadership and generate 50 new leads in 6 months; Workflow Stage: Strategy.,Establish thought leadership and generate 50 new leads in 6 months; Workflow Stage: Strategy.,Company: CyberShield; Target Audience: IT professionals; Constraints: Highly competitive market;,Company: CyberShield; Target Audience: IT professionals; Constraints: Highly competitive market;,"Create a comprehensive content hub featuring in-depth guides, webinars, and whitepapers on AI-powered cybersecurity, leveraging LinkedIn and Twitter to promote the content and engage with industry influencers.",professional,0.5875,industry,0.0644814744591713,0.22343041002750397,0.20106540620326996,0.06788362562656403,0.31586316227912903,0.12727594375610352,1,persuasive,0.3159,professional,0.2607,luxury,0.2221,professional,1,1,professional,0.5078,1.0,rule_zero_shot_agreement,True
20,Create a social media campaign to promote a new restaurant's grand opening.,Company: Bistro Bliss; Target Audience: Foodies and locals; Constraints: Limited budget; Goals: Attract 500 customers within the first month; Workflow Stage: Image Generation.,Attract 500 customers within the first month; Workflow Stage: Image Generation.,Company: Bistro Bliss; Target Audience: Foodies and locals; Constraints: Limited budget;,Company: Bistro Bliss; Target Audience: Foodies and locals; Constraints: Limited budget;,"Design a visually appealing Instagram campaign showcasing the restaurant's dishes, atmosphere, and behind-the-scenes moments, utilizing relevant hashtags and geotags to create buzz around the grand opening.",,0.0,,0.09862342476844788,0.034298598766326904,0.47794803977012634,0.03438806161284447,0.23104344308376312,0.1236983984708786,1,luxury,0.4779,luxury,0.4985,friendly,0.1911,persuasive,1,1,persuasive,0.6,0.5,phi3_tiebreak,True
21,Develop a targeted advertising campaign for a luxury watch brand.,Company: Timeless Watches; Target Audience: High-income individuals; Constraints: Limited ad budget; Goals: Drive 20 sales within 3 months; Workflow Stage: Post Scheduling.,Drive 20 sales within 3 months; Workflow Stage: Post Scheduling.,Company: Timeless Watches; Target Audience: High-income individuals; Constraints: Limited ad budget;,Company: Timeless Watches; Target Audience: High-income individuals; Constraints: Limited ad budget;,"Launch a targeted Google Ads and Facebook Ads campaign focusing on high-end lifestyle interests, with ad copy emphasizing the watches' exclusivity and craftsmanship, and scheduling ads to coincide with peak luxury",luxury,0.7708,luxury,0.0005001047975383699,0.02370467036962509,0.8782788515090942,0.005398457869887352,0.08216352015733719,0.00995432399213314,1,luxury,0.8783,luxury,0.9249,persuasive,0.027,,0,0,luxury,0.9556,1.0,rule_zero_shot_agreement,False
22,Create a social media campaign to increase brand awareness for a sustainable fashion brand among Gen Z.,"Company: Verde Fashion Target Audience: Gen Z (18-24 years old) Constraints: Limited budget ($1,000) Goals: Increase followers by 20% and engagement by 30% in 6 weeks Workflow Stage: Strategy",Increase followers by 20% and engagement by 30% in 6 weeks Workflow Stage: Strategy,"Company: Verde Fashion Target Audience: Gen Z (18-24 years old) Constraints: Limited budget ($1,000)","Company: Verde Fashion Target Audience: Gen Z (18-24 years old) Constraints: Limited budget ($1,000)","Launch a ""Sustainable Fashion Challenge"" on TikTok and Instagram, encouraging users to share their eco-friendly fashion choices using a branded hashtag. Partner with 5 eco-influencers to promote the challenge and create engaging content. Allocate $500 for influencer collaborations and $500 for paid social media ads.",,0.0,,0.07514093816280365,0.13907741010189056,0.08265186101198196,0.0857333093881607,0.4559761583805084,0.16142041981220245,1,persuasive,0.456,humorous,0.2068,professional,0.1775,persuasive,1,1,persuasive,0.6,0.5,phi3_tiebreak,True
23,Develop a personalized email marketing campaign to boost sales for a luxury car brand.,Company: Prestige Motors Target Audience: High-income individuals (40-60 years old) Constraints: Existing customer database Goals: Increase sales by 15% in 3 months Workflow Stage: Copywriting,Increase sales by 15% in 3 months Workflow Stage: Copywriting,Company: Prestige Motors Target Audience: High-income individuals (40-60 years old) Constraints: Existing customer database,Company: Prestige Motors Target Audience: High-income individuals (40-60 years old) Constraints: Existing customer database,"Create a ""Exclusive Offers"" email series, addressing customers by name and featuring personalized car recommendations based on their purchase history and preferences. Use AI-powered segmentation to categorize customers into three groups: ""High-End,"" ""Luxury,"" and ""Prestige."" Craft compelling subject lines and CTAs to drive conversions.",luxury,1.0,luxury|exclusive|prestige,0.012046546675264835,0.07330299913883209,0.1624862402677536,0.018787870183587074,0.7039152383804321,0.02946111001074314,1,persuasive,0.7039,persuasive,0.4032,luxury,0.2981,persuasive,1,1,persuasive,0.4732,0.6667,three_method_majority,True
24,Design a social media image campaign to promote a new vegan food product.,Company: GreenBite Target Audience: Health-conscious individuals (25-45 years old) Constraints: Limited design resources Goals: Increase brand awareness by 40% in 2 months Workflow Stage: Image Generation,Increase brand awareness by 40% in 2 months Workflow Stage: Image Generation,Company: GreenBite Target Audience: Health-conscious individuals (25-45 years old) Constraints: Limited design resources,Company: GreenBite Target Audience: Health-conscious individuals (25-45 years old) Constraints: Limited design resources,"Create a visually appealing image series showcasing the product's key ingredients, nutritional benefits, and eco-friendly packaging. Utilize a vibrant color palette and minimalist design to appeal to the target audience. Develop 10 unique images for Instagram, Facebook, and Twitter, using a mix of illustrations and high-quality product photos.",,0.0,,0.12780876457691193,0.09438571333885193,0.16404691338539124,0.061243537813425064,0.38614436984062195,0.1663707047700882,1,persuasive,0.3861,friendly,0.2633,humorous,0.1956,professional,1,1,professional,0.6,0.5,phi3_tiebreak,True
25,Develop a content calendar to increase website traffic for a financial services company.,Company: Prosperity Financial Target Audience: Small business owners (30-55 years old) Constraints: Limited content creation resources Goals: Increase website traffic by 25% in 4 months Workflow Stage: Post Scheduling,Increase website traffic by 25% in 4 months Workflow Stage: Post Scheduling,Company: Prosperity Financial Target Audience: Small business owners (30-55 years old) Constraints: Limited content creation resources,Company: Prosperity Financial Target Audience: Small business owners (30-55 years old) Constraints: Limited content creation resources,"Create a content calendar focusing on ""Financial Wellness"" topics, including blog posts, social media posts, and email newsletters. Schedule 2 blog posts per week,",,0.0,,0.1087626963853836,0.18853497505187988,0.17505688965320587,0.09415376931428909,0.27075618505477905,0.16273556649684906,1,persuasive,0.2708,friendly,0.2035,professional,0.2007,persuasive,1,1,persuasive,0.6,0.5,phi3_tiebreak,True
26,Create a social media campaign that increases brand awareness and drives sales for a new eco-friendly fashion brand.,"Company: GreenThreads, a sustainable fashion brand targeting millennials and Gen Z. Target Audience: Environmentally conscious fashion enthusiasts. Constraints: Limited budget, high competition in the sustainable fashion market. Goals: Increase brand awareness by 20% and drive sales by 15% within 6 months. Workflow Stage: Strategy, Content Creation, Post Scheduling.","Increase brand awareness by 20% and drive sales by 15% within 6 months. Workflow Stage: Strategy, Content Creation, Post Scheduling.","Company: GreenThreads, a sustainable fashion brand targeting millennials and Gen Z. Target Audience: Environmentally conscious fashion enthusiasts. Constraints: Limited budget, high competition in the sustainable fashion market.","Company: GreenThreads, a sustainable fashion brand targeting millennials and Gen Z. Target Audience: Environmentally conscious fashion enthusiasts. Constraints: Limited budget, high competition in the sustainable fashion market.","Develop a social media campaign, ""Wear Your Values,"" highlighting GreenThreads' commitment to sustainability. Utilize Instagram Reels and TikTok to showcase eco-friendly fashion tips and behind-the-scenes content. Collaborate with eco-influencers and user-generated content campaigns to increase brand reach. Allocate 30% of the budget to targeted ads on Facebook and Instagram, focusing on interests related to sustainability and fashion.",,0.0,,0.0683998316526413,0.15110893547534943,0.10685746371746063,0.10357345640659332,0.44360825419425964,0.12645205855369568,1,persuasive,0.4436,emotional,0.2082,professional,0.1898,professional,1,1,professional,0.6,0.5,phi3_tiebreak,True
