row_id,instruction,raw_input,text
10,Create a social media campaign to increase brand awareness among younger audiences for a sustainable fashion brand.,"Company: GreenThreads; Target Audience: 18-25-year-olds; Constraints: Limited budget; Goals: 20% increase in followers, 15% increase in website traffic; Workflow Stage: Strategy","Develop a social media contest, ""Eco-Chic Challenge,"" where followers share their eco-friendly fashion tips using a branded hashtag. Partner with eco-influencers to promote the contest. Allocate 30% of the budget to Instagram Reels and TikTok ads targeting the specified age group. Create engaging content (images, videos, and captions) highlighting GreenThreads' commitment to sustainability."
11,Design an email marketing campaign to nurture leads for a B2B software company.,"Company: Tech Solutions; Target Audience: Business owners and decision-makers; Constraints: High competition; Goals: 25% open rate, 10% conversion rate; Workflow Stage: Copywriting","Create a 3-email sequence: ""The Future of Business"" series. Email 1: ""Unlock Your Business Potential"" ( introduction to Tech Solutions and its benefits); Email 2: ""Success Stories"" (case studies and testimonials); Email 3: ""Get Started"" ( demo invitation and special offer). Use a conversational tone, visually appealing templates, and A/B testing for subject lines and CTAs."
12,Generate social media posts for a new product launch in the fitness industry.,Company: FitZone; Target Audience: Fitness enthusiasts; Constraints: Short timeframe; Goals: Create buzz around the new product; Workflow Stage: Post Scheduling,"Schedule a series of 8 posts across Facebook, Instagram, Twitter, and LinkedIn. Post 1: Teaser (product sneak peek); Post 2-3: Product features and benefits; Post 4: Influencer partnership announcement; Post 5: Special launch offer; Post 6-7: Customer testimonials and reviews; Post 8: Exclusive promo code for followers. Use attention-grabbing visuals and relevant hashtags."
13,Create a social media campaign to increase brand awareness for a sustainable fashion brand among Gen Z consumers.,"Company: Verde Clothing, a new sustainable fashion brand; Target Audience: Gen Z (18-24 years old); Constraints: Limited budget ($5,000); Goals: Increase brand awareness by 30% in 6 weeks; Workflow Stage: Strategy.","Launch a social media contest, ""Green Revolution,"" where followers share eco-friendly fashion tips using a branded hashtag. Collaborate with 5 eco-influencers to promote the contest. Allocate $2,000 for influencer partnerships, $1,500 for sponsored posts, and $1,500 for prize giveaways."
14,Develop a targeted ad campaign to promote a new AI-powered fitness app among fitness enthusiasts.,"Company: FitGenie, a new AI-powered fitness app; Target Audience: Fitness enthusiasts (25-45 years old); Constraints: Limited ad budget ($10,000); Goals: Acquire 10,000 new users in 3 months; Workflow Stage: Image Generation.","Create eye-catching ad visuals showcasing fit individuals using the app, with bold headlines emphasizing AI-driven personalized workouts. Allocate $3,000 for Facebook and Instagram ads, $2,000 for Google Ads, and $5,000 for influencer partnerships."
15,Write engaging copy for an email newsletter promoting a new sustainable coffee subscription service.,"Company: GreenBrew, a sustainable coffee subscription service; Target Audience: Environmentally conscious coffee lovers (25-50 years old); Constraints: Limited email list (5,000 subscribers); Goals: Increase subscription sales by 20% in 2 months; Workflow Stage: Copywriting.","Craft a compelling newsletter highlighting the eco-friendly benefits of GreenBrew's sustainable coffee sourcing, featuring customer testimonials, and offering a limited-time discount (15% off) for new subscribers."
16,Schedule a series of Instagram posts promoting a new beauty product launch for a cosmetics company.,"Company: BeautyBliss, a cosmetics company; Target Audience: Beauty enthusiasts (18-40 years old); Constraints: Limited content creation budget ($2,000); Goals: Generate buzz around the new product launch; Workflow Stage: Post Scheduling.","Schedule 6 Instagram posts over 2 weeks, featuring product teasers, behind-the-scenes content, and user-generated reviews. Utilize"
17,Create a social media campaign to increase brand awareness among Gen Z for a sustainable fashion brand.,Company: GreenCycle Clothing; Target Audience: Gen Z (18-24); Constraints: Limited budget; Goals: Increase brand awareness by 20% in 6 weeks; Workflow Stage: Strategy.,"Develop a TikTok-focused campaign, leveraging hashtags like #Sustainability and #EcoFashion, with short, engaging videos showcasing the brand's eco-friendly production process and encouraging users to share their own sustainable fashion tips."
18,Design an email marketing campaign to promote a new line of eco-friendly cleaning products.,Company: CleanStart; Target Audience: Environmentally conscious homeowners; Constraints: Limited email list; Goals: Boost sales by 15% in 3 months; Workflow Stage: Copywriting.,"Craft a compelling email series highlighting the benefits of eco-friendly cleaning, featuring customer testimonials, and offering a 10% discount on the new product line for subscribers, with a clear call-to-action to drive sales."
19,Develop a content marketing strategy for a B2B AI-powered cybersecurity firm.,Company: CyberShield; Target Audience: IT professionals; Constraints: Highly competitive market; Goals: Establish thought leadership and generate 50 new leads in 6 months; Workflow Stage: Strategy.,"Create a comprehensive content hub featuring in-depth guides, webinars, and whitepapers on AI-powered cybersecurity, leveraging LinkedIn and Twitter to promote the content and engage with industry influencers."
20,Create a social media campaign to promote a new restaurant's grand opening.,Company: Bistro Bliss; Target Audience: Foodies and locals; Constraints: Limited budget; Goals: Attract 500 customers within the first month; Workflow Stage: Image Generation.,"Design a visually appealing Instagram campaign showcasing the restaurant's dishes, atmosphere, and behind-the-scenes moments, utilizing relevant hashtags and geotags to create buzz around the grand opening."
21,Develop a targeted advertising campaign for a luxury watch brand.,Company: Timeless Watches; Target Audience: High-income individuals; Constraints: Limited ad budget; Goals: Drive 20 sales within 3 months; Workflow Stage: Post Scheduling.,"Launch a targeted Google Ads and Facebook Ads campaign focusing on high-end lifestyle interests, with ad copy emphasizing the watches' exclusivity and craftsmanship, and scheduling ads to coincide with peak luxury"
22,Create a social media campaign to increase brand awareness for a sustainable fashion brand among Gen Z.,"Company: Verde Fashion Target Audience: Gen Z (18-24 years old) Constraints: Limited budget ($1,000) Goals: Increase followers by 20% and engagement by 30% in 6 weeks Workflow Stage: Strategy","Launch a ""Sustainable Fashion Challenge"" on TikTok and Instagram, encouraging users to share their eco-friendly fashion choices using a branded hashtag. Partner with 5 eco-influencers to promote the challenge and create engaging content. Allocate $500 for influencer collaborations and $500 for paid social media ads."
23,Develop a personalized email marketing campaign to boost sales for a luxury car brand.,Company: Prestige Motors Target Audience: High-income individuals (40-60 years old) Constraints: Existing customer database Goals: Increase sales by 15% in 3 months Workflow Stage: Copywriting,"Create a ""Exclusive Offers"" email series, addressing customers by name and featuring personalized car recommendations based on their purchase history and preferences. Use AI-powered segmentation to categorize customers into three groups: ""High-End,"" ""Luxury,"" and ""Prestige."" Craft compelling subject lines and CTAs to drive conversions."
24,Design a social media image campaign to promote a new vegan food product.,Company: GreenBite Target Audience: Health-conscious individuals (25-45 years old) Constraints: Limited design resources Goals: Increase brand awareness by 40% in 2 months Workflow Stage: Image Generation,"Create a visually appealing image series showcasing the product's key ingredients, nutritional benefits, and eco-friendly packaging. Utilize a vibrant color palette and minimalist design to appeal to the target audience. Develop 10 unique images for Instagram, Facebook, and Twitter, using a mix of illustrations and high-quality product photos."
25,Develop a content calendar to increase website traffic for a financial services company.,Company: Prosperity Financial Target Audience: Small business owners (30-55 years old) Constraints: Limited content creation resources Goals: Increase website traffic by 25% in 4 months Workflow Stage: Post Scheduling,"Create a content calendar focusing on ""Financial Wellness"" topics, including blog posts, social media posts, and email newsletters. Schedule 2 blog posts per week,"
26,Create a social media campaign that increases brand awareness and drives sales for a new eco-friendly fashion brand.,"Company: GreenThreads, a sustainable fashion brand targeting millennials and Gen Z. Target Audience: Environmentally conscious fashion enthusiasts. Constraints: Limited budget, high competition in the sustainable fashion market. Goals: Increase brand awareness by 20% and drive sales by 15% within 6 months. Workflow Stage: Strategy, Content Creation, Post Scheduling.","Develop a social media campaign, ""Wear Your Values,"" highlighting GreenThreads' commitment to sustainability. Utilize Instagram Reels and TikTok to showcase eco-friendly fashion tips and behind-the-scenes content. Collaborate with eco-influencers and user-generated content campaigns to increase brand reach. Allocate 30% of the budget to targeted ads on Facebook and Instagram, focusing on interests related to sustainability and fashion."
27,Design an email marketing campaign to re-engage inactive subscribers for a B2B software company.,"Company: TechSolutions, a B2B software provider targeting small to medium-sized businesses. Target Audience: Inactive email subscribers. Constraints: High unsubscribe rates, limited content resources. Goals: Reactivate 25% of inactive subscribers within 3 months. Workflow Stage: Email List Segmentation, Content Creation, Email Scheduling.","Develop a ""Win-Back"" email campaign, featuring personalized content and exclusive offers. Segment the inactive subscriber list based on inactivity duration and tailor content to each group. Create a series of 3 emails: a re-introduction to TechSolutions, a showcase of new features, and a special promotion. Utilize AI-powered subject line optimization to increase open rates."
28,Create a personalized video ad campaign for a luxury car brand targeting high-end consumers.,"Company: Luxe Motors, a luxury car brand targeting high-income individuals. Target Audience: Affluent car enthusiasts. Constraints: High ad spend, limited audience targeting options. Goals: Increase brand recall by 30% and drive test drive bookings by 25% within 2 months. Workflow Stage: Video Content Creation, Ad Targeting, Ad Scheduling.","Develop a ""Tailored Experience"" video ad campaign, utilizing AI-powered personalization to create unique ad experiences for each viewer. Partner with luxury lifestyle influencers to showcase Luxe Motors' vehicles in exclusive settings. Utilize YouTube's video targeting options to reach high-income viewers and allocate 40% of the budget to sponsored content"
29,Create a social media campaign to increase brand awareness among young adults for a sustainable fashion brand.,"Company: GreenThreads, a sustainable fashion brand Target audience: Young adults aged 18-25 Constraints: Limited budget, high competition in the market Goals: Increase brand awareness, drive website traffic, and boost sales Workflow stage: Strategy","Develop a social media campaign ""Eco-Chic Challenge"" that encourages users to share their sustainable fashion choices on Instagram and TikTok. Collaborate with eco-influencers and offer discounts to participants who use a branded hashtag. Utilize Instagram Reels and TikTok's Duet feature to create engaging content."
30,Design an email marketing campaign to nurture leads for a B2B software company.,"Company: TechCorp, a B2B software company Target audience: Business owners and decision-makers Constraints: High competition, lengthy sales cycle Goals: Nurture leads, increase conversions, and reduce churn rate Workflow stage: Email sequence creation","Create a 5-email sequence ""Tech Insights"" that provides valuable industry insights, case studies, and product tutorials. Use personalization and segmentation to tailor content to each lead's interests and stage in the buyer's journey. Include clear CTAs and track engagement metrics to optimize the sequence."
31,Develop a content marketing strategy for a healthcare provider to establish thought leadership.,"Company: MedCare, a healthcare provider Target audience: Patients and healthcare professionals Constraints: Regulatory compliance, sensitive topic Goals: Establish thought leadership, increase website traffic, and build trust Workflow stage: Content creation","Launch a blog series ""Healthcare Insights"" that addresses industry trends, medical breakthroughs, and patient stories. Utilize SEO optimization and social media promotion to increase visibility. Collaborate with medical experts to create authoritative content and establish MedCare as a trusted resource."
32,Create a paid advertising campaign to drive sales for an e-commerce company.,"Company: ShopSmart, an e-commerce company Target audience: Online shoppers Constraints: High competition, limited budget Goals: Drive sales, increase conversion rates, and reduce ad spend Workflow stage: Ad creation","Develop a targeted Google Ads campaign ""Smart Deals"" that focuses on high-intent keywords and demographics. Utilize AI-powered ad optimization to ensure maximum ROI. Create eye-catching ad copy and visuals that highlight exclusive"
33,Develop a social media campaign to increase brand awareness among young adults for a sustainable fashion brand.,"Company: Verde Clothing, a sustainable fashion brand targeting 18-30-year-olds. Workflow stage: Strategy. Constraints: Limited budget of $5,000. Goals: Increase followers by 20% and drive website traffic by 15% within 3 months.","Create a social media campaign, ""Wear Your Values,"" highlighting eco-friendly fashion practices. Utilize Instagram Reels, TikTok, and Facebook to share engaging content (influencer partnerships, behind-the-scenes, and user-generated content). Allocate $2,000 for influencer collaborations, $1,500 for content creation, and $1,500 for paid social media ads."
34,Design an email marketing campaign to nurture leads for a B2B software company.,"Company: Proxima Software, a B2B software provider targeting small businesses. Workflow stage: Email Copywriting. Constraints: 3-email sequence, 200-word limit per email. Goals: Convert 20% of leads into demo requests within 6 weeks.","Craft a 3-email sequence focusing on pain points, success stories, and exclusive offers. Email 1: ""Unlock Efficiency"" highlighting a key pain point and Proxima's solution. Email 2: ""Real Results"" sharing a success story and testimonial. Email 3: ""Exclusive Demo Offer"" with a clear call-to-action and limited-time discount."
35,Create a personalized video ad campaign for a luxury car brand targeting high-income individuals.,"Company: Aurum Automotive, a luxury car brand targeting individuals with a $200,000+ annual income. Workflow stage: Video Production. Constraints: 60-second ad limit. Goals: Drive 500 dealership visits within 2 months.","Develop a 60-second video ad, ""Unparalleled Driving Experience,"" showcasing Aurum's sleek designs, advanced features, and exclusive benefits. Utilize AI-powered video personalization to incorporate individual names, interests, and preferences. Allocate $10,000 for video production and $5,000 for targeted online ads."
36,Create a social media campaign to increase brand awareness among young adults for a sustainable fashion brand.,"Company: GreenCycle Clothing Target Audience: 18-30-year-old environmentally conscious individuals Constraints: Limited budget ($5,000) Goals: 20% increase in followers, 15% increase in website traffic Workflow Stage: Strategy","Develop a social media campaign focusing on Instagram and TikTok, utilizing eco-influencers, user-generated content, and interactive challenges that showcase GreenCycle's commitment to sustainability. Utilize relevant hashtags and collaborate with popular eco-friendly brands."
37,Design a personalized email campaign to promote a new product launch for a tech company.,"Company: NovaTech Target Audience: Existing customers and subscribers Constraints: 2-week timeframe Goals: 25% open rate, 10% conversion rate Workflow Stage: Copywriting","Create a dynamic email template with AI-driven content recommendations based on customers' past purchases and browsing history. Offer exclusive early access to the new product, along with a limited-time discount. Use attention-grabbing subject lines and CTAs."
38,Develop a comprehensive content calendar for a healthcare organization's blog.,"Company: MedCare Target Audience: Patients, caregivers, and healthcare professionals Constraints: 3-month timeframe Goals: 50% increase in blog traffic, 20% increase in engagement Workflow Stage: Post Scheduling","Create a content calendar focusing on trending healthcare topics, patient success stories, and expert insights. Utilize SEO keywords, meta descriptions, and optimize images. Schedule 2-3 posts per week, including guest posts from industry experts and patient testimonials."
39,Create a targeted Facebook ad campaign for a local event promotion.,"Company: EventBuzz Target Audience: 25-45-year-old event enthusiasts in a specific city Constraints: $1,500 budget Goals: 500 ticket sales, 20% increase in event page engagement Workflow Stage: Image Generation","Design eye-catching ad creatives highlighting the event's unique features, performers, and experiences. Utilize Facebook's event targeting options, interests, and behaviors to reach the desired audience. Set up conversion tracking and optimize ads for ticket sales."
40,Create a social media campaign to increase brand awareness among Gen Z for a new sustainable fashion brand.,"Company: Verdi Clothing; Target Audience: Gen Z; Constraints: Limited budget; Goals: 20% increase in followers, 10% increase in sales; Workflow Stage: Strategy.","Launch a TikTok hashtag challenge, #VerdiVibes, where users showcase eco-friendly fashion choices. Collaborate with 5 eco-influencers to promote the brand. Utilize Instagram Reels and Snapchat for behind-the-scenes content. Allocate $1,000 for sponsored content."
41,Develop a content marketing strategy for a B2B AI software company targeting CTOs and CEOs.,"Company: NovaTech; Target Audience: CTOs and CEOs; Constraints: Technical subject matter; Goals: 50% increase in website traffic, 20% increase in demos; Workflow Stage: Copywriting.","Create a series of blog posts, ""AI for Business Leaders,"" exploring industry applications and thought leadership pieces. Host a webinar, ""Unlocking AI Potential,"" featuring expert panelists. Utilize LinkedIn Pulse for article publications and sponsored content."
42,Design an email marketing campaign for a wellness and self-care e-commerce platform targeting busy professionals.,"Company: Serenity Box; Target Audience: Busy professionals; Constraints: High competition; Goals: 30% open rate, 15% conversion rate; Workflow Stage: Image Generation.","Craft visually appealing emails featuring calming imagery and product showcases. Offer a ""Mindful Moment"" series with guided meditations and exclusive discounts. Use personalized subject lines and segmentation to increase engagement."
43,Create a social media crisis management plan for a food brand facing a recall.,"Company: HealthyBite; Target Audience: General public; Constraints: Sensitive topic; Goals: Maintain brand reputation, resolve issue efficiently; Workflow Stage: Post Scheduling.",Establish a dedicated crisis Twitter handle for real-time updates. Share apology statements and recall information on Facebook and Instagram. Utilize Instagram Stories and Facebook Live for Q&A sessions with the CEO.
44,Create a social media campaign to increase brand awareness for a new eco-friendly fashion brand.,"Company: Green Threads Target Audience: Young adults aged 18-30 Constraints: Limited budget of $1,000 Goals: Reach 10,000 followers within 3 months Workflow Stage: Strategy","Develop a campaign centered around Instagram Reels, utilizing hashtags like #EcoFashion and #Sustainability, and collaborating with micro-influencers in the eco-friendly niche. Allocate $300 for influencer partnerships, $200 for content creation, and $500 for paid advertising. Utilize Instagram's built-in features like polls and quizzes to engage the audience and encourage user-generated content."
45,Design a sales funnel for an AI-powered fitness app targeting busy professionals.,Company: FitGenie Target Audience: Working professionals aged 25-45 Constraints: Limited development resources Goals: Generate 500 paid subscribers within 6 months Workflow Stage: Image Generation,"Create a 4-step sales funnel: 1. Awareness: Share engaging, AI-generated fitness tips on social media and LinkedIn. 2. Interest: Offer a free 7-day trial and a comprehensive e-book on ""Fitness for Busy Professionals."" 3. Desire: Share success stories and testimonials from existing users, highlighting the app's personalized AI-powered workouts. 4. Action: Offer a limited-time discount for new subscribers and a 30-day money-back guarantee."
46,Craft a compelling product description for a smart home security system.,Company: SafeHaven Target Audience: Homeowners aged 30-60 Constraints: High competition in the market Goals: Increase sales by 20% within the next quarter Workflow Stage: Copywriting,"Introducing SafeHaven - the intelligent home security system that protects what matters most. With advanced AI-powered threat detection and real-time alerts, you can enjoy peace of mind knowing your home and loved ones are safe. Experience the power of smart security with our user-friendly app and customizable alerts. Upgrade to SafeHaven today and take the first step towards a safer tomorrow."
47,Create a social media campaign to launch a new eco-friendly fashion brand targeting Gen Z consumers.,"Company: GreenThreads; Target Audience: 18-25-year-old environmentally conscious fashion enthusiasts; Constraints: Limited budget, need to leverage user-generated content; Goals: Increase brand awareness, drive website traffic, and generate sales; Workflow Stage: Strategy Development.","Develop an Instagram-focused campaign, ""Wear Your Values,"" encouraging users to share photos wearing GreenThreads clothing, using a branded hashtag, and tagging @GreenThreads. Partner with eco-influencers for initial content creation and utilize Instagram's shopping feature for seamless purchase experiences. Allocate budget for targeted ads highlighting the brand's sustainability initiatives."
48,Design an email marketing strategy for a B2B software company to nurture leads and promote a new AI-powered tool.,"Company: TechSolutions; Target Audience: IT professionals and business decision-makers; Constraints: Highly competitive market, need to showcase tool's unique value proposition; Goals: Educate leads about the tool's capabilities, schedule demos, and drive sales; Workflow Stage: Email Campaign Development.","Create a 3-email sequence: ""Unlock the Power of AI."" Email 1 introduces the tool's key features; Email 2 shares a case study highlighting a successful implementation; Email 3 invites leads to schedule a personalized demo. Utilize dynamic content to tailor the sequence based on lead engagement and interest. Include a clear call-to-action (CTA) in each email, directing leads to a dedicated landing page."
49,Develop a content marketing strategy for a wellness and fitness app to attract new users and retain existing ones.,"Company: FitLife; Target Audience: Health-conscious individuals aged 25-45; Constraints: High competition in the wellness space, need to offer unique perspectives; Goals: Increase app downloads, boost user engagement, and reduce churn rate; Workflow Stage: Content Creation.","Launch ""The FitLife Journal,"" a blog focusing on holistic wellness, mindfulness, and personalized fitness advice. Collaborate with experts to produce in-depth guides, videos, and podcasts. Share user success stories and feature a ""Workout of the Month"" series. Utilize SEO best practices to improve visibility and drive organic traffic to the app's website."
