row_id,instruction,raw_input,goal_text,business_context,summary,text,campaign_goal_rule,campaign_goal_rule_confidence,campaign_goal_rule_matches,campaign_goal_zero_shot,campaign_goal_zero_shot_confidence,campaign_goal_second_choice,campaign_goal_second_choice_confidence,campaign_goal_phi3,campaign_goal,campaign_goal_confidence,campaign_goal_agreement,campaign_goal_source,campaign_goal_needs_review,tone_rule,tone_rule_confidence,tone_rule_matches,tone_zero_shot,tone_zero_shot_confidence,tone_second_choice,tone_second_choice_confidence,tone_phi3,tone,tone_confidence,tone_agreement,tone_source,tone_needs_review,needs_review,joint_label_confidence,labeling_method,valid_label_pair
10,Create a social media campaign to increase brand awareness among younger audiences for a sustainable fashion brand.,"Company: GreenThreads; Target Audience: 18-25-year-olds; Constraints: Limited budget; Goals: 20% increase in followers, 15% increase in website traffic; Workflow Stage: Strategy","20% increase in followers, 15% increase in website traffic; Workflow Stage: Strategy",Company: GreenThreads; Target Audience: 18-25-year-olds; Constraints: Limited budget;,Company: GreenThreads; Target Audience: 18-25-year-olds; Constraints: Limited budget;,"Develop a social media contest, ""Eco-Chic Challenge,"" where followers share their eco-friendly fashion tips using a branded hashtag. Partner with eco-influencers to promote the contest. Allocate 30% of the budget to Instagram Reels and TikTok ads targeting the specified age group. Create engaging content (images, videos, and captions) highlighting GreenThreads' commitment to sustainability.",awareness,0.8167,followers|website traffic,awareness,0.4628,engagement,0.2895,awareness,awareness,0.7774,1.0,rule_zero_shot_agreement,False,,0.0,,emotional,0.2312,persuasive,0.1914,professional,professional,0.6,0.5,phi3_tiebreak,True,True,0.6829641279013122,rule_bart_mnli_phi3_ensemble,True
11,Design an email marketing campaign to nurture leads for a B2B software company.,"Company: Tech Solutions; Target Audience: Business owners and decision-makers; Constraints: High competition; Goals: 25% open rate, 10% conversion rate; Workflow Stage: Copywriting","25% open rate, 10% conversion rate; Workflow Stage: Copywriting",Company: Tech Solutions; Target Audience: Business owners and decision-makers; Constraints: High competition;,Company: Tech Solutions; Target Audience: Business owners and decision-makers; Constraints: High competition;,"Create a 3-email sequence: ""The Future of Business"" series. Email 1: ""Unlock Your Business Potential"" ( introduction to Tech Solutions and its benefits); Email 2: ""Success Stories"" (case studies and testimonials); Email 3: ""Get Started"" ( demo invitation and special offer). Use a conversational tone, visually appealing templates, and A/B testing for subject lines and CTAs.",conversion,0.7708,conversion rate,lead_generation,0.266,conversion,0.25,lead_generation,lead_generation,0.346,0.6667,three_method_majority,True,persuasive,0.3888,offer,friendly,0.5531,persuasive,0.1211,friendly,friendly,0.6231,0.6667,three_method_majority,False,True,0.4643195020672726,rule_bart_mnli_phi3_ensemble,True
12,Generate social media posts for a new product launch in the fitness industry.,Company: FitZone; Target Audience: Fitness enthusiasts; Constraints: Short timeframe; Goals: Create buzz around the new product; Workflow Stage: Post Scheduling,Create buzz around the new product; Workflow Stage: Post Scheduling,Company: FitZone; Target Audience: Fitness enthusiasts; Constraints: Short timeframe;,Company: FitZone; Target Audience: Fitness enthusiasts; Constraints: Short timeframe;,"Schedule a series of 8 posts across Facebook, Instagram, Twitter, and LinkedIn. Post 1: Teaser (product sneak peek); Post 2-3: Product features and benefits; Post 4: Influencer partnership announcement; Post 5: Special launch offer; Post 6-7: Customer testimonials and reviews; Post 8: Exclusive promo code for followers. Use attention-grabbing visuals and relevant hashtags.",,0.0,,awareness,0.389,engagement,0.3624,awareness,awareness,0.469,1.0,three_method_majority,True,luxury,0.3192,exclusive,persuasive,0.3159,humorous,0.1783,professional,professional,0.6,0.3333,phi3_tiebreak,True,True,0.5304714883949937,rule_bart_mnli_phi3_ensemble,True
13,Create a social media campaign to increase brand awareness for a sustainable fashion brand among Gen Z consumers.,"Company: Verde Clothing, a new sustainable fashion brand; Target Audience: Gen Z (18-24 years old); Constraints: Limited budget ($5,000); Goals: Increase brand awareness by 30% in 6 weeks; Workflow Stage: Strategy.",Increase brand awareness by 30% in 6 weeks; Workflow Stage: Strategy.,"Company: Verde Clothing, a new sustainable fashion brand; Target Audience: Gen Z (18-24 years old); Constraints: Limited budget ($5,000);","Company: Verde Clothing, a new sustainable fashion brand; Target Audience: Gen Z (18-24 years old); Constraints: Limited budget ($5,000);","Launch a social media contest, ""Green Revolution,"" where followers share eco-friendly fashion tips using a branded hashtag. Collaborate with 5 eco-influencers to promote the contest. Allocate $2,000 for influencer partnerships, $1,500 for sponsored posts, and $1,500 for prize giveaways.",awareness,0.8167,brand awareness,awareness,0.7563,engagement,0.0882,,awareness,0.9095,1.0,rule_zero_shot_agreement,False,,0.0,,professional,0.2265,humorous,0.2142,professional,professional,0.2965,1.0,three_method_majority,True,True,0.5192944733000727,rule_bart_mnli_phi3_ensemble,True
14,Develop a targeted ad campaign to promote a new AI-powered fitness app among fitness enthusiasts.,"Company: FitGenie, a new AI-powered fitness app; Target Audience: Fitness enthusiasts (25-45 years old); Constraints: Limited ad budget ($10,000); Goals: Acquire 10,000 new users in 3 months; Workflow Stage: Image Generation.","Acquire 10,000 new users in 3 months; Workflow Stage: Image Generation.","Company: FitGenie, a new AI-powered fitness app; Target Audience: Fitness enthusiasts (25-45 years old); Constraints: Limited ad budget ($10,000);","Company: FitGenie, a new AI-powered fitness app; Target Audience: Fitness enthusiasts (25-45 years old); Constraints: Limited ad budget ($10,000);","Create eye-catching ad visuals showcasing fit individuals using the app, with bold headlines emphasizing AI-driven personalized workouts. Allocate $3,000 for Facebook and Instagram ads, $2,000 for Google Ads, and $5,000 for influencer partnerships.",,0.0,,awareness,0.6047,conversion,0.2314,awareness,awareness,0.6847,1.0,three_method_majority,False,,0.0,,persuasive,0.4694,luxury,0.2723,persuasive,persuasive,0.5394,1.0,three_method_majority,True,True,0.6077229467446494,rule_bart_mnli_phi3_ensemble,True
15,Write engaging copy for an email newsletter promoting a new sustainable coffee subscription service.,"Company: GreenBrew, a sustainable coffee subscription service; Target Audience: Environmentally conscious coffee lovers (25-50 years old); Constraints: Limited email list (5,000 subscribers); Goals: Increase subscription sales by 20% in 2 months; Workflow Stage: Copywriting.",Increase subscription sales by 20% in 2 months; Workflow Stage: Copywriting.,"Company: GreenBrew, a sustainable coffee subscription service; Target Audience: Environmentally conscious coffee lovers (25-50 years old); Constraints: Limited email list (5,000 subscribers);","Company: GreenBrew, a sustainable coffee subscription service; Target Audience: Environmentally conscious coffee lovers (25-50 years old); Constraints: Limited email list (5,000 subscribers);","Craft a compelling newsletter highlighting the eco-friendly benefits of GreenBrew's sustainable coffee sourcing, featuring customer testimonials, and offering a limited-time discount (15% off) for new subscribers.",,0.0,,conversion,0.7861,retention,0.1189,awareness,conversion,0.7861,0.5,high_confidence_zero_shot,False,persuasive,0.6792,discount,emotional,0.3268,persuasive,0.2742,persuasive,persuasive,0.7492,0.6667,three_method_majority,False,False,0.7674282507179417,rule_bart_mnli_phi3_ensemble,True
16,Schedule a series of Instagram posts promoting a new beauty product launch for a cosmetics company.,"Company: BeautyBliss, a cosmetics company; Target Audience: Beauty enthusiasts (18-40 years old); Constraints: Limited content creation budget ($2,000); Goals: Generate buzz around the new product launch; Workflow Stage: Post Scheduling.",Generate buzz around the new product launch; Workflow Stage: Post Scheduling.,"Company: BeautyBliss, a cosmetics company; Target Audience: Beauty enthusiasts (18-40 years old); Constraints: Limited content creation budget ($2,000);","Company: BeautyBliss, a cosmetics company; Target Audience: Beauty enthusiasts (18-40 years old); Constraints: Limited content creation budget ($2,000);","Schedule 6 Instagram posts over 2 weeks, featuring product teasers, behind-the-scenes content, and user-generated reviews. Utilize",awareness,0.6333,product launch,awareness,0.3979,engagement,0.3898,awareness,awareness,0.6474,1.0,rule_zero_shot_agreement,True,,0.0,,humorous,0.3283,friendly,0.1736,persuasive,persuasive,0.6,0.5,phi3_tiebreak,True,True,0.6232495487362987,rule_bart_mnli_phi3_ensemble,True
17,Create a social media campaign to increase brand awareness among Gen Z for a sustainable fashion brand.,Company: GreenCycle Clothing; Target Audience: Gen Z (18-24); Constraints: Limited budget; Goals: Increase brand awareness by 20% in 6 weeks; Workflow Stage: Strategy.,Increase brand awareness by 20% in 6 weeks; Workflow Stage: Strategy.,Company: GreenCycle Clothing; Target Audience: Gen Z (18-24); Constraints: Limited budget;,Company: GreenCycle Clothing; Target Audience: Gen Z (18-24); Constraints: Limited budget;,"Develop a TikTok-focused campaign, leveraging hashtags like #Sustainability and #EcoFashion, with short, engaging videos showcasing the brand's eco-friendly production process and encouraging users to share their own sustainable fashion tips.",awareness,0.8167,brand awareness,awareness,0.7557,engagement,0.0882,,awareness,0.9093,1.0,rule_zero_shot_agreement,False,,0.0,,humorous,0.3061,persuasive,0.2078,friendly,friendly,0.6,0.5,phi3_tiebreak,True,True,0.7386338741216787,rule_bart_mnli_phi3_ensemble,True
18,Design an email marketing campaign to promote a new line of eco-friendly cleaning products.,Company: CleanStart; Target Audience: Environmentally conscious homeowners; Constraints: Limited email list; Goals: Boost sales by 15% in 3 months; Workflow Stage: Copywriting.,Boost sales by 15% in 3 months; Workflow Stage: Copywriting.,Company: CleanStart; Target Audience: Environmentally conscious homeowners; Constraints: Limited email list;,Company: CleanStart; Target Audience: Environmentally conscious homeowners; Constraints: Limited email list;,"Craft a compelling email series highlighting the benefits of eco-friendly cleaning, featuring customer testimonials, and offering a 10% discount on the new product line for subscribers, with a clear call-to-action to drive sales.",,0.0,,conversion,0.692,awareness,0.162,awareness,awareness,0.62,0.5,phi3_tiebreak,True,persuasive,0.6792,discount,persuasive,0.7686,emotional,0.0934,,persuasive,0.8284,1.0,rule_zero_shot_agreement,False,True,0.7166644961207441,rule_bart_mnli_phi3_ensemble,True
19,Develop a content marketing strategy for a B2B AI-powered cybersecurity firm.,Company: CyberShield; Target Audience: IT professionals; Constraints: Highly competitive market; Goals: Establish thought leadership and generate 50 new leads in 6 months; Workflow Stage: Strategy.,Establish thought leadership and generate 50 new leads in 6 months; Workflow Stage: Strategy.,Company: CyberShield; Target Audience: IT professionals; Constraints: Highly competitive market;,Company: CyberShield; Target Audience: IT professionals; Constraints: Highly competitive market;,"Create a comprehensive content hub featuring in-depth guides, webinars, and whitepapers on AI-powered cybersecurity, leveraging LinkedIn and Twitter to promote the content and engage with industry influencers.",,0.0,,awareness,0.4465,lead_generation,0.2691,lead_generation,lead_generation,0.62,0.5,phi3_tiebreak,True,professional,0.5875,industry,professional,0.2607,luxury,0.2221,professional,professional,0.5078,1.0,rule_zero_shot_agreement,True,True,0.5611024861823373,rule_bart_mnli_phi3_ensemble,True
20,Create a social media campaign to promote a new restaurant's grand opening.,Company: Bistro Bliss; Target Audience: Foodies and locals; Constraints: Limited budget; Goals: Attract 500 customers within the first month; Workflow Stage: Image Generation.,Attract 500 customers within the first month; Workflow Stage: Image Generation.,Company: Bistro Bliss; Target Audience: Foodies and locals; Constraints: Limited budget;,Company: Bistro Bliss; Target Audience: Foodies and locals; Constraints: Limited budget;,"Design a visually appealing Instagram campaign showcasing the restaurant's dishes, atmosphere, and behind-the-scenes moments, utilizing relevant hashtags and geotags to create buzz around the grand opening.",,0.0,,awareness,0.4213,conversion,0.338,awareness,awareness,0.5013,1.0,three_method_majority,True,,0.0,,luxury,0.4985,friendly,0.1911,persuasive,persuasive,0.6,0.5,phi3_tiebreak,True,True,0.548434134605059,rule_bart_mnli_phi3_ensemble,True
21,Develop a targeted advertising campaign for a luxury watch brand.,Company: Timeless Watches; Target Audience: High-income individuals; Constraints: Limited ad budget; Goals: Drive 20 sales within 3 months; Workflow Stage: Post Scheduling.,Drive 20 sales within 3 months; Workflow Stage: Post Scheduling.,Company: Timeless Watches; Target Audience: High-income individuals; Constraints: Limited ad budget;,Company: Timeless Watches; Target Audience: High-income individuals; Constraints: Limited ad budget;,"Launch a targeted Google Ads and Facebook Ads campaign focusing on high-end lifestyle interests, with ad copy emphasizing the watches' exclusivity and craftsmanship, and scheduling ads to coincide with peak luxury",,0.0,,conversion,0.8415,lead_generation,0.0712,conversion,conversion,0.9215,1.0,three_method_majority,False,luxury,0.7708,luxury,luxury,0.9249,persuasive,0.027,,luxury,0.9556,1.0,rule_zero_shot_agreement,False,False,0.9383951193393963,rule_bart_mnli_phi3_ensemble,True
22,Create a social media campaign to increase brand awareness for a sustainable fashion brand among Gen Z.,"Company: Verde Fashion Target Audience: Gen Z (18-24 years old) Constraints: Limited budget ($1,000) Goals: Increase followers by 20% and engagement by 30% in 6 weeks Workflow Stage: Strategy",Increase followers by 20% and engagement by 30% in 6 weeks Workflow Stage: Strategy,"Company: Verde Fashion Target Audience: Gen Z (18-24 years old) Constraints: Limited budget ($1,000)","Company: Verde Fashion Target Audience: Gen Z (18-24 years old) Constraints: Limited budget ($1,000)","Launch a ""Sustainable Fashion Challenge"" on TikTok and Instagram, encouraging users to share their eco-friendly fashion choices using a branded hashtag. Partner with 5 eco-influencers to promote the challenge and create engaging content. Allocate $500 for influencer collaborations and $500 for paid social media ads.",awareness,0.6333,followers,engagement,0.581,awareness,0.2367,awareness,awareness,0.7133,0.6667,three_method_majority,False,,0.0,,humorous,0.2068,professional,0.1775,persuasive,persuasive,0.6,0.5,phi3_tiebreak,True,True,0.6542018037272597,rule_bart_mnli_phi3_ensemble,True
23,Develop a personalized email marketing campaign to boost sales for a luxury car brand.,Company: Prestige Motors Target Audience: High-income individuals (40-60 years old) Constraints: Existing customer database Goals: Increase sales by 15% in 3 months Workflow Stage: Copywriting,Increase sales by 15% in 3 months Workflow Stage: Copywriting,Company: Prestige Motors Target Audience: High-income individuals (40-60 years old) Constraints: Existing customer database,Company: Prestige Motors Target Audience: High-income individuals (40-60 years old) Constraints: Existing customer database,"Create a ""Exclusive Offers"" email series, addressing customers by name and featuring personalized car recommendations based on their purchase history and preferences. Use AI-powered segmentation to categorize customers into three groups: ""High-End,"" ""Luxury,"" and ""Prestige."" Craft compelling subject lines and CTAs to drive conversions.",conversion,0.8167,increase sales,conversion,0.6444,awareness,0.1802,conversion,conversion,0.8592,1.0,rule_zero_shot_agreement,False,luxury,1.0,luxury|exclusive|prestige,persuasive,0.4032,luxury,0.2981,persuasive,persuasive,0.4732,0.6667,three_method_majority,True,True,0.6376311159283242,rule_bart_mnli_phi3_ensemble,True
24,Design a social media image campaign to promote a new vegan food product.,Company: GreenBite Target Audience: Health-conscious individuals (25-45 years old) Constraints: Limited design resources Goals: Increase brand awareness by 40% in 2 months Workflow Stage: Image Generation,Increase brand awareness by 40% in 2 months Workflow Stage: Image Generation,Company: GreenBite Target Audience: Health-conscious individuals (25-45 years old) Constraints: Limited design resources,Company: GreenBite Target Audience: Health-conscious individuals (25-45 years old) Constraints: Limited design resources,"Create a visually appealing image series showcasing the product's key ingredients, nutritional benefits, and eco-friendly packaging. Utilize a vibrant color palette and minimalist design to appeal to the target audience. Develop 10 unique images for Instagram, Facebook, and Twitter, using a mix of illustrations and high-quality product photos.",awareness,0.8167,brand awareness,awareness,0.8674,engagement,0.0493,,awareness,0.9595,1.0,rule_zero_shot_agreement,False,,0.0,,friendly,0.2633,humorous,0.1956,professional,professional,0.6,0.5,phi3_tiebreak,True,True,0.7587489703452651,rule_bart_mnli_phi3_ensemble,True
25,Develop a content calendar to increase website traffic for a financial services company.,Company: Prosperity Financial Target Audience: Small business owners (30-55 years old) Constraints: Limited content creation resources Goals: Increase website traffic by 25% in 4 months Workflow Stage: Post Scheduling,Increase website traffic by 25% in 4 months Workflow Stage: Post Scheduling,Company: Prosperity Financial Target Audience: Small business owners (30-55 years old) Constraints: Limited content creation resources,Company: Prosperity Financial Target Audience: Small business owners (30-55 years old) Constraints: Limited content creation resources,"Create a content calendar focusing on ""Financial Wellness"" topics, including blog posts, social media posts, and email newsletters. Schedule 2 blog posts per week,",awareness,0.6333,website traffic,awareness,0.5658,conversion,0.1666,awareness,awareness,0.7229,1.0,rule_zero_shot_agreement,False,,0.0,,friendly,0.2035,professional,0.2007,persuasive,persuasive,0.6,0.5,phi3_tiebreak,True,True,0.6585894016760366,rule_bart_mnli_phi3_ensemble,True
